Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
8,Michael Frederick,Fremantle,10.0,5.0,5.0,0.5,0.5,4.0,0.0,4.0,Gen. Forward
8,Murphy Reid,Fremantle,15.0,4.0,11.0,0.27,0.73,2.0,0.0,0.0,Gen. Forward
8,Quinton Narkle,Fremantle,,,,,,,,,Gen. Forward
8,Sam Switkowski,Fremantle,7.0,3.0,4.0,0.43,0.57,3.0,0.0,3.0,Gen. Forward
8,Sean Darcy,Fremantle,8.0,6.0,2.0,0.75,0.25,2.0,0.0,4.0,Ruck
8,Shai Bolton,Fremantle,7.0,3.0,4.0,0.43,0.57,1.0,0.0,2.0,Mid-Forward
9,Alex Pearce,Fremantle,13.0,10.0,3.0,0.77,0.23,7.0,1.0,0.0,Key Defender
9,Andrew Brayshaw,Fremantle,34.0,9.0,25.0,0.26,0.74,5.0,1.0,5.0,Midfielder
9,Brennan Cox,Fremantle,13.0,7.0,6.0,0.54,0.46,4.0,0.0,2.0,Key Defender
9,Caleb Serong,Fremantle,25.0,14.0,11.0,0.56,0.44,3.0,0.0,4.0,Midfielder
9,Cooper Simpson,Fremantle,18.0,11.0,7.0,0.61,0.39,6.0,0.0,0.0,Gen. Defender
9,Corey Wagner,Fremantle,14.0,7.0,7.0,0.5,0.5,4.0,0.0,5.0,Midfielder
9,Heath Chapman,Fremantle,17.0,11.0,6.0,0.65,0.35,6.0,0.0,2.0,Gen. Defender
9,Isaiah Dudley,Fremantle,7.0,7.0,0.0,1.0,0.0,4.0,1.0,3.0,Gen. Forward
9,Jeremy Sharp,Fremantle,13.0,7.0,6.0,0.54,0.46,2.0,1.0,0.0,Midfielder
9,Jordan Clark,Fremantle,33.0,24.0,9.0,0.73,0.27,8.0,0.0,4.0,Gen. Defender
9,Josh Treacy,Fremantle,11.0,6.0,5.0,0.55,0.45,5.0,2.0,2.0,Key Forward
9,Jye Amiss,Fremantle,12.0,6.0,6.0,0.5,0.5,4.0,0.0,0.0,Key Forward
9,Karl Worner,Fremantle,12.0,9.0,3.0,0.75,0.25,6.0,0.0,2.0,Gen. Defender
9,Luke Jackson,Fremantle,19.0,5.0,14.0,0.26,0.74,5.0,0.0,5.0,Ruck
9,Luke Ryan,Fremantle,30.0,24.0,6.0,0.8,0.2,12.0,0.0,1.0,Gen. Defender
9,Matthew Johnson,Fremantle,22.0,10.0,12.0,0.45,0.55,4.0,0.0,3.0,Midfielder
9,Michael Frederick,Fremantle,13.0,6.0,7.0,0.46,0.54,3.0,1.0,1.0,Gen. Forward
9,Murphy Reid,Fremantle,6.0,4.0,2.0,0.67,0.33,3.0,1.0,2.0,Gen. Forward
9,Neil Erasmus,Fremantle,,,,,,,,,Midfielder
9,Patrick Voss,Fremantle,5.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,Key Forward
9,Sam Switkowski,Fremantle,19.0,6.0,13.0,0.32,0.68,4.0,1.0,0.0,Gen. Forward
9,Sean Darcy,Fremantle,,,,,,,,,Ruck
9,Shai Bolton,Fremantle,28.0,15.0,13.0,0.54,0.46,3.0,1.0,3.0,Mid-Forward
10,Alex Pearce,Fremantle,4.0,2.0,2.0,0.5,0.5,2.0,0.0,0.0,Key Defender
10,Andrew Brayshaw,Fremantle,30.0,9.0,21.0,0.3,0.7,3.0,0.0,6.0,Midfielder
10,Bailey Banfield,Fremantle,,,,,,,,,Gen. Defender
10,Brennan Cox,Fremantle,6.0,3.0,3.0,0.5,0.5,3.0,0.0,1.0,Key Defender
10,Caleb Serong,Fremantle,36.0,17.0,19.0,0.47,0.53,3.0,0.0,3.0,Midfielder
10,Cooper Simpson,Fremantle,14.0,11.0,3.0,0.79,0.21,2.0,1.0,3.0,Gen. Defender
10,Corey Wagner,Fremantle,13.0,8.0,5.0,0.62,0.38,2.0,0.0,1.0,Midfielder
10,Heath Chapman,Fremantle,15.0,10.0,5.0,0.67,0.33,4.0,0.0,1.0,Gen. Defender
10,Isaiah Dudley,Fremantle,8.0,7.0,1.0,0.88,0.12,4.0,0.0,0.0,Gen. Forward
10,Jeremy Sharp,Fremantle,3.0,2.0,1.0,0.67,0.33,1.0,0.0,0.0,Midfielder
10,Jordan Clark,Fremantle,21.0,14.0,7.0,0.67,0.33,6.0,0.0,2.0,Gen. Defender
10,Josh Treacy,Fremantle,11.0,7.0,4.0,0.64,0.36,2.0,1.0,2.0,Key Forward
10,Jye Amiss,Fremantle,8.0,4.0,4.0,0.5,0.5,4.0,2.0,0.0,Key Forward
10,Karl Worner,Fremantle,8.0,5.0,3.0,0.62,0.38,4.0,0.0,0.0,Gen. Defender
10,Luke Jackson,Fremantle,21.0,11.0,10.0,0.52,0.48,4.0,0.0,1.0,Ruck
10,Luke Ryan,Fremantle,18.0,16.0,2.0,0.89,0.11,5.0,0.0,4.0,Gen. Defender
10,Matthew Johnson,Fremantle,14.0,7.0,7.0,0.5,0.5,1.0,0.0,2.0,Midfielder
10,Michael Frederick,Fremantle,16.0,8.0,8.0,0.5,0.5,5.0,3.0,3.0,Gen. Forward
