Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
3,Mitchell Hinge,Adelaide,20.0,16.0,4.0,0.8,0.2,7.0,0.0,4.0,Gen. Defender
3,Reilly O'Brien,Adelaide,16.0,7.0,9.0,0.44,0.56,5.0,0.0,2.0,Ruck
3,Riley Thilthorpe,Adelaide,17.0,11.0,6.0,0.65,0.35,8.0,3.0,1.0,Key Forward
3,Rory Laird,Adelaide,32.0,12.0,20.0,0.38,0.62,7.0,0.0,2.0,Gen. Defender
3,Sid Draper,Adelaide,,,,,,,,,Mid-Forward
3,Taylor Walker,Adelaide,14.0,11.0,3.0,0.79,0.21,5.0,4.0,1.0,Key Forward
3,Wayne Milera,Adelaide,9.0,6.0,3.0,0.67,0.33,1.0,0.0,4.0,Gen. Defender
4,Alex Neal-Bullen,Adelaide,20.0,7.0,13.0,0.35,0.65,2.0,0.0,5.0,Gen. Forward
4,Ben Keays,Adelaide,17.0,8.0,9.0,0.47,0.53,5.0,1.0,3.0,Gen. Forward
4,Daniel Curtin,Adelaide,12.0,7.0,5.0,0.58,0.42,3.0,0.0,3.0,Midfielder
4,Darcy Fogarty,Adelaide,11.0,7.0,4.0,0.64,0.36,4.0,3.0,1.0,Key Forward
4,Isaac Cumming,Adelaide,20.0,13.0,7.0,0.65,0.35,8.0,0.0,5.0,Midfielder
4,Izak Rankine,Adelaide,21.0,8.0,13.0,0.38,0.62,2.0,0.0,7.0,Mid-Forward
4,Jake Soligo,Adelaide,26.0,15.0,11.0,0.58,0.42,2.0,0.0,6.0,Midfielder
4,James Borlase,Adelaide,8.0,5.0,3.0,0.62,0.38,0.0,0.0,1.0,Key Defender
4,James Peatling,Adelaide,24.0,18.0,6.0,0.75,0.25,4.0,1.0,6.0,Midfielder
4,Jordan Dawson,Adelaide,31.0,17.0,14.0,0.55,0.45,5.0,0.0,6.0,Midfielder
4,Josh Worrell,Adelaide,17.0,11.0,6.0,0.65,0.35,3.0,0.0,1.0,Gen. Defender
4,Lachlan Murphy,Adelaide,13.0,8.0,5.0,0.62,0.38,2.0,0.0,2.0,Gen. Forward
4,Lachlan Sholl,Adelaide,13.0,4.0,9.0,0.31,0.69,2.0,0.0,1.0,Midfielder
4,Luke Nankervis,Adelaide,,,,,,,,,Midfielder
4,Mark Keane,Adelaide,9.0,7.0,2.0,0.78,0.22,3.0,0.0,1.0,Key Defender
4,Max Michalanney,Adelaide,9.0,7.0,2.0,0.78,0.22,2.0,0.0,2.0,Gen. Defender
4,Mitchell Hinge,Adelaide,27.0,17.0,10.0,0.63,0.37,5.0,0.0,2.0,Gen. Defender
4,Reilly O'Brien,Adelaide,5.0,3.0,2.0,0.6,0.4,1.0,0.0,2.0,Ruck
4,Riley Thilthorpe,Adelaide,16.0,11.0,5.0,0.69,0.31,5.0,5.0,2.0,Key Forward
4,Rory Laird,Adelaide,16.0,6.0,10.0,0.38,0.62,2.0,0.0,4.0,Gen. Defender
4,Sid Draper,Adelaide,15.0,6.0,9.0,0.4,0.6,0.0,0.0,5.0,Mid-Forward
4,Taylor Walker,Adelaide,14.0,10.0,4.0,0.71,0.29,7.0,4.0,0.0,Key Forward
4,Wayne Milera,Adelaide,20.0,11.0,9.0,0.55,0.45,3.0,0.0,2.0,Gen. Defender
5,Alex Neal-Bullen,Adelaide,12.0,7.0,5.0,0.58,0.42,4.0,0.0,2.0,Gen. Forward
5,Ben Keays,Adelaide,18.0,10.0,8.0,0.56,0.44,6.0,3.0,1.0,Gen. Forward
5,Daniel Curtin,Adelaide,5.0,2.0,3.0,0.4,0.6,0.0,1.0,3.0,Midfielder
5,Darcy Fogarty,Adelaide,15.0,9.0,6.0,0.6,0.4,6.0,4.0,0.0,Key Forward
5,Isaac Cumming,Adelaide,14.0,13.0,1.0,0.93,0.07,5.0,0.0,1.0,Midfielder
5,Izak Rankine,Adelaide,25.0,16.0,9.0,0.64,0.36,5.0,2.0,4.0,Mid-Forward
5,Jake Soligo,Adelaide,15.0,8.0,7.0,0.53,0.47,2.0,0.0,2.0,Midfielder
5,James Peatling,Adelaide,22.0,10.0,12.0,0.45,0.55,1.0,0.0,5.0,Midfielder
5,Jordan Dawson,Adelaide,21.0,17.0,4.0,0.81,0.19,3.0,0.0,6.0,Midfielder
5,Josh Worrell,Adelaide,15.0,9.0,6.0,0.6,0.4,5.0,0.0,2.0,Gen. Defender
5,Lachlan Sholl,Adelaide,,,,,,,,,Midfielder
5,Luke Nankervis,Adelaide,18.0,8.0,10.0,0.44,0.56,4.0,0.0,5.0,Midfielder
5,Mark Keane,Adelaide,24.0,15.0,9.0,0.62,0.38,9.0,0.0,0.0,Key Defender
5,Matt Crouch,Adelaide,28.0,10.0,18.0,0.36,0.64,4.0,0.0,2.0,Midfielder
5,Max Michalanney,Adelaide,10.0,7.0,3.0,0.7,0.3,2.0,0.0,2.0,Gen. Defender
5,Mitchell Hinge,Adelaide,25.0,19.0,6.0,0.76,0.24,6.0,0.0,2.0,Gen. Defender
5,Reilly O'Brien,Adelaide,5.0,1.0,4.0,0.2,0.8,1.0,0.0,3.0,Ruck
5,Riley Thilthorpe,Adelaide,13.0,7.0,6.0,0.54,0.46,4.0,1.0,2.0,Key Forward
5,Rory Laird,Adelaide,23.0,14.0,9.0,0.61,0.39,8.0,0.0,1.0,Gen. Defender
5,Sid Draper,Adelaide,7.0,2.0,5.0,0.29,0.71,1.0,1.0,2.0,Mid-Forward
5,Taylor Walker,Adelaide,13.0,10.0,3.0,0.77,0.23,3.0,2.0,3.0,Key Forward
5,Wayne Milera,Adelaide,22.0,14.0,8.0,0.64,0.36,5.0,0.0,3.0,Gen. Defender
5,Zac Taylor,Adelaide,,,,,,,,,Gen. Forward
6,Alex Neal-Bullen,Adelaide,20.0,9.0,11.0,0.45,0.55,3.0,1.0,3.0,Gen. Forward
6,Ben Keays,Adelaide,18.0,12.0,6.0,0.67,0.33,4.0,1.0,7.0,Gen. Forward
6,Daniel Curtin,Adelaide,,,,,,,,,Midfielder
6,Darcy Fogarty,Adelaide,8.0,4.0,4.0,0.5,0.5,2.0,0.0,0.0,Key Forward
6,Isaac Cumming,Adelaide,14.0,10.0,4.0,0.71,0.29,2.0,0.0,1.0,Midfielder
6,Izak Rankine,Adelaide,20.0,15.0,5.0,0.75,0.25,3.0,1.0,6.0,Mid-Forward
6,Jake Soligo,Adelaide,22.0,15.0,7.0,0.68,0.32,3.0,0.0,2.0,Midfielder
6,Jordan Dawson,Adelaide,27.0,22.0,5.0,0.81,0.19,5.0,0.0,8.0,Midfielder
6,Josh Worrell,Adelaide,19.0,12.0,7.0,0.63,0.37,2.0,0.0,3.0,Gen. Defender
6,Luke Nankervis,Adelaide,18.0,7.0,11.0,0.39,0.61,3.0,0.0,2.0,Midfielder
6,Mark Keane,Adelaide,11.0,9.0,2.0,0.82,0.18,5.0,0.0,2.0,Key Defender
6,Matt Crouch,Adelaide,26.0,7.0,19.0,0.27,0.73,2.0,0.0,3.0,Midfielder
6,Max Michalanney,Adelaide,14.0,11.0,3.0,0.79,0.21,3.0,1.0,1.0,Gen. Defender
6,Mitchell Hinge,Adelaide,19.0,16.0,3.0,0.84,0.16,7.0,0.0,0.0,Gen. Defender
6,Nick Murray,Adelaide,9.0,6.0,3.0,0.67,0.33,5.0,0.0,1.0,Key Defender
6,Reilly O'Brien,Adelaide,17.0,11.0,6.0,0.65,0.35,4.0,0.0,4.0,Ruck
6,Riley Thilthorpe,Adelaide,13.0,8.0,5.0,0.62,0.38,4.0,1.0,1.0,Key Forward
6,Rory Laird,Adelaide,21.0,9.0,12.0,0.43,0.57,5.0,0.0,4.0,Gen. Defender
