Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
7,Tom McDonald,Melbourne,16.0,11.0,5.0,0.69,0.31,6.0,0.0,1.0,Key Defender
7,Tom Sparrow,Melbourne,16.0,12.0,4.0,0.75,0.25,6.0,1.0,11.0,Gen. Forward
7,Trent Rivers,Melbourne,28.0,17.0,11.0,0.61,0.39,12.0,0.0,0.0,Gen. Defender
7,Xavier Lindsay,Melbourne,21.0,15.0,6.0,0.71,0.29,11.0,0.0,2.0,Midfielder
8,Bayley Fritsch,Melbourne,7.0,4.0,3.0,0.57,0.43,4.0,2.0,0.0,Gen. Forward
8,Caleb Windsor,Melbourne,20.0,12.0,8.0,0.6,0.4,5.0,1.0,2.0,Gen. Defender
8,Charlie Spargo,Melbourne,14.0,5.0,9.0,0.36,0.64,3.0,1.0,1.0,Gen. Forward
8,Christian Petracca,Melbourne,29.0,12.0,17.0,0.41,0.59,4.0,1.0,8.0,Mid-Forward
8,Christian Salem,Melbourne,14.0,8.0,6.0,0.57,0.43,4.0,0.0,1.0,Gen. Defender
8,Daniel Turner,Melbourne,19.0,12.0,7.0,0.63,0.37,7.0,3.0,0.0,Key Defender
8,Ed Langdon,Melbourne,18.0,8.0,10.0,0.44,0.56,3.0,2.0,2.0,Mid-Forward
8,Harrison Petty,Melbourne,,,,,,,,,Key Forward
8,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
8,Harvey Langford,Melbourne,25.0,14.0,11.0,0.56,0.44,4.0,0.0,0.0,Midfielder
8,Jack Viney,Melbourne,18.0,11.0,7.0,0.61,0.39,3.0,1.0,10.0,Midfielder
8,Jake Bowey,Melbourne,18.0,12.0,6.0,0.67,0.33,6.0,0.0,2.0,Gen. Defender
8,Jake Melksham,Melbourne,12.0,11.0,1.0,0.92,0.08,6.0,1.0,3.0,Key Forward
8,Judd McVee,Melbourne,7.0,3.0,4.0,0.43,0.57,0.0,0.0,4.0,Gen. Defender
8,Kade Chandler,Melbourne,26.0,17.0,9.0,0.65,0.35,5.0,1.0,8.0,Gen. Forward
8,Koltyn Tholstrup,Melbourne,14.0,7.0,7.0,0.5,0.5,1.0,0.0,4.0,Gen. Forward
8,Kysaiah Pickett,Melbourne,14.0,11.0,3.0,0.79,0.21,4.0,1.0,3.0,Mid-Forward
8,Max Gawn,Melbourne,35.0,13.0,22.0,0.37,0.63,8.0,1.0,0.0,Ruck
8,Steven May,Melbourne,10.0,9.0,1.0,0.9,0.1,3.0,0.0,1.0,Key Defender
