Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
2,Reuben Ginbey,West Coast,11.0,8.0,3.0,0.73,0.27,5.0,0.0,3.0,Gen. Defender
2,Ryan Maric,West Coast,26.0,18.0,8.0,0.69,0.31,1.0,0.0,1.0,Gen. Defender
2,Tim Kelly,West Coast,29.0,15.0,14.0,0.52,0.48,5.0,0.0,4.0,Mid-Forward
2,Tom Cole,West Coast,13.0,4.0,9.0,0.31,0.69,2.0,0.0,4.0,Gen. Defender
2,Tyler Brockman,West Coast,9.0,6.0,3.0,0.67,0.33,3.0,2.0,0.0,Gen. Forward
2,Tyrell Dewar,West Coast,20.0,15.0,5.0,0.75,0.25,7.0,2.0,1.0,Midfielder
3,Archer Reid,West Coast,8.0,7.0,1.0,0.88,0.12,5.0,2.0,1.0,Key Forward
3,Bailey J. Williams,West Coast,13.0,7.0,6.0,0.54,0.46,1.0,0.0,4.0,Ruck
3,Brady Hough,West Coast,13.0,7.0,6.0,0.54,0.46,5.0,0.0,0.0,Midfielder
3,Elijah Hewett,West Coast,,,,,,,,,Midfielder
3,Harley Reid,West Coast,15.0,11.0,4.0,0.73,0.27,3.0,1.0,3.0,Midfielder
3,Harry Edwards,West Coast,7.0,5.0,2.0,0.71,0.29,5.0,0.0,0.0,Key Defender
3,Jack Graham,West Coast,17.0,9.0,8.0,0.53,0.47,0.0,0.0,7.0,Mid-Forward
3,Jack Williams,West Coast,8.0,4.0,4.0,0.5,0.5,4.0,1.0,5.0,Key Forward
3,Jamie Cripps,West Coast,13.0,8.0,5.0,0.62,0.38,3.0,2.0,3.0,Gen. Forward
3,Jayden Hunt,West Coast,14.0,11.0,3.0,0.79,0.21,3.0,1.0,0.0,Midfielder
3,Jeremy McGovern,West Coast,,,,,,,,,Key Defender
3,Liam Baker,West Coast,23.0,12.0,11.0,0.52,0.48,3.0,0.0,3.0,Gen. Defender
3,Liam Duggan,West Coast,13.0,12.0,1.0,0.92,0.08,5.0,0.0,1.0,Gen. Defender
3,Liam Ryan,West Coast,10.0,8.0,2.0,0.8,0.2,3.0,1.0,0.0,Gen. Forward
3,Matthew Owies,West Coast,6.0,2.0,4.0,0.33,0.67,1.0,1.0,3.0,Gen. Forward
3,Noah Long,West Coast,11.0,4.0,7.0,0.36,0.64,4.0,0.0,0.0,Gen. Forward
3,Oscar Allen,West Coast,4.0,3.0,1.0,0.75,0.25,1.0,0.0,4.0,Key Forward
3,Reuben Ginbey,West Coast,11.0,7.0,4.0,0.64,0.36,3.0,0.0,3.0,Gen. Defender
3,Ryan Maric,West Coast,28.0,24.0,4.0,0.86,0.14,8.0,0.0,0.0,Gen. Defender
3,Tim Kelly,West Coast,18.0,12.0,6.0,0.67,0.33,3.0,0.0,2.0,Mid-Forward
3,Tom Cole,West Coast,13.0,6.0,7.0,0.46,0.54,4.0,0.0,2.0,Gen. Defender
3,Tyler Brockman,West Coast,6.0,3.0,3.0,0.5,0.5,2.0,1.0,2.0,Gen. Forward
3,Tyrell Dewar,West Coast,19.0,10.0,9.0,0.53,0.47,4.0,0.0,0.0,Midfielder
4,Archer Reid,West Coast,10.0,5.0,5.0,0.5,0.5,4.0,1.0,0.0,Key Forward
4,Bailey J. Williams,West Coast,11.0,5.0,6.0,0.45,0.55,1.0,0.0,4.0,Ruck
4,Brady Hough,West Coast,9.0,6.0,3.0,0.67,0.33,3.0,0.0,1.0,Midfielder
4,Clay Hall,West Coast,18.0,3.0,15.0,0.17,0.83,1.0,0.0,1.0,Midfielder
4,Hamish Davis,West Coast,,,,,,,,,Mid-Forward
4,Harley Reid,West Coast,25.0,11.0,14.0,0.44,0.56,1.0,0.0,0.0,Midfielder
4,Jack Graham,West Coast,19.0,7.0,12.0,0.37,0.63,1.0,0.0,5.0,Mid-Forward
4,Jack Williams,West Coast,11.0,9.0,2.0,0.82,0.18,4.0,2.0,2.0,Key Forward
4,Jamie Cripps,West Coast,7.0,6.0,1.0,0.86,0.14,1.0,2.0,4.0,Gen. Forward
4,Jayden Hunt,West Coast,12.0,5.0,7.0,0.42,0.58,2.0,0.0,3.0,Midfielder
4,Liam Baker,West Coast,24.0,14.0,10.0,0.58,0.42,3.0,0.0,4.0,Gen. Defender
4,Liam Duggan,West Coast,21.0,18.0,3.0,0.86,0.14,5.0,0.0,1.0,Gen. Defender
